HouseholdID	Eth.Iso	Eth.Num
705	GES	52
706	MAL	92
707	MIS	102
708	MIS	102
709	FAK	48
710	BHW	23
711	MIS	102
712	TFT	156
713	MIS	102
714	MIS	102
715	KPS	80
716	JAV	66
717	XMT	180
718	XMT	180
719	GES	52
720	GES	52
721	RAJ	129
722	MIS	102
723	MIS	102
724	TFT	156
725	XMT	180
726	CIA	43
727	XMT	180
728	XMT	180
729	MAL	92
730	XMT	180
731	FAK	48
732	GES	52
733	SLZ-WGO	143
734	FAK	48
735	MIS	102
736	SOR	145
737	GES	52
738	MIS	102
739	MIS	102
740	GOR	56
741	MIS	102
742	MIS	102
743	GES	52
744	MAL	92
745	MAK	91
746	BUG	37
747	MIS	102
748	MIS	102
749	GES	52
750	BUG	37
751	GES	52
752	TVO	164
753	SLZ-WGO	143
754	TFT	156
755	CIA	43
756	ADR	5
757	XMT	180
758	XMT	180
759	XMT	180
760	XMT	180
761	XMT	180
762	XMT	180
763	XMT	180
764	XMT	180
765	XMT	180
766	XMT	180
767	XMT	180
768	XMT	180
769	XMT	180
770	BHW	23
771	XMT	180
772	XMT	180
773	XMT	180
774	XMT	180
775	XMT	180
776	XMT	180
777	XMT	180
778	XMT	180
779	XMT	180
780	XMT	180
781	XMT	180
782	XMT	180
783	TLB	157
784	XMT	180
785	XMT	180
786	XMT	180
787	XMT	180
788	XMT	180
789	XMT	180
790	XMT	180
791	XMT	180
792	XMT	180
793	XMT	180
794	XMT	180
795	XMT	180
796	BHW	23
797	XMT	180
798	XMT	180
799	XMT	180
800	XMT	180
801	XMT	180
802	XMT	180
803	XMT	180
804	XMT	180
805	XMT	180
806	MLK	104
807	TFT	156
808	TFT	156
809	MIS	102
810	XMT	180
811	CIA	43
812	MIS	102
813	FOR	49
814	MAD	90
815	TFT	156
816	GES	52
817	GES	52
818	MAL	92
819	MIS	102
820	XMT	180
821	MAL	92
822	JAV	66
823	TFT	156
824	TFT	156
825	JAV	66
826	TFT	156
827	MAL	92
828	MLK	104
829	GES	52
830	KEI	70
831	GES	52
832	GES	52
833	CIA	43
834	BHP	21
835	TFT	156
836	CIA	43
837	TFT	156
838	MIS	102
839	TFT	156
840	CIA	43
841	CIA	43
842	GES	52
843	FAK	48
844	TFT	156
845	BHW	23
846	ABS	1
847	GES	52
848	MIS	102
849	ABS	1
850	MAK	91
851	GES	52
852	CIA	43
853	KEI	70
854	ABS	1
855	GES	52
856	BHW	23
857	SUL	147
858	MIS	102
859	KEI	70
860	BHW	23
861	BUG	37
862	FAK	48
863	MIS	102
864	MIS	102
865	FAK	48
866	GES	52
867	CIA	43
868	GES	52
869	BUG	37
870	TFT	156
871	WGO	171
872	TFT	156
873	GES	52
874	MXN	112
875	XMT	180
876	XMT	180
877	XMT	180
878	XMT	180
879	XMT	180
880	ABS	1
881	XMT	180
882	XMT	180
883	XMT	180
884	XMT	180
885	XMT	180
886	XMT	180
887	TLB	157
888	XMT	180
889	TFT	156
890	TLB	157
891	AOZ	11
892	TLB	157
893	BHP	21
894	CIA	43
895	BHW	23
896	ABS-TLB	4
897	CIA	43
898	XMT	180
899	AOZ	11
900	TLB	157
901	BHW	23
902	BHP	21
903	KAL	69
904	TLB	157
905	CIA	43
906	BHW	23
907	XMT	180
908	BUG	37
909	CIA	43
910	TLB	157
911	TFT	156
912	TLB	157
913	XMT	180
914	XMT	180
915	XMT	180
916	XMT	180
917	XMT	180
918	XMT	180
919	XMT	180
920	XMT	180
921	BHW	23
922	XMT	180
923	XMT	180
924	XMT	180
925	XMT	180
926	XMT	180
927	XMT	180
928	XMT	180
929	AOZ	11
930	CIA	43
931	CIA	43
932	CIA	43
933	CIA	43
934	SZP	152
935	TLB	157
936	TLB	157
937	WAD	168
938	XMT	180
939	XMT	180
940	TFT	156
941	BHW	23
942	MAL	92
943	XMT	180
944	GES	52
945	HEG	58
946	ABS	1
947	BHW	23
948	XMT	180
949	MER	95
950	ABS	1
951	AOZ	11
952	BHW	23
953	XMT	180
954	BHW	23
955	TLB	157
956	SDA	136
957	KPS	80
958	MLK	104
959	XMT	180
960	XMT	180
961	MLK	104
962	XMT	180
963	BHW	23
964	XMT	180
965	TFT	156
966	SDA	136
967	BHC	20
968	AOZ	11
969	BHW	23
970	BHW	23
971	AOZ	11
972	TLB	157
973	SBG	135
974	AOZ	11
975	BHW	23
976	AOZ	11
977	NTT	124
978	BHW	23
979	KEI	70
980	GOP	54
981	GOP-WAD	55
982	GOP	54
983	BHW	23
984	GOP	54
985	SUL	147
986	XMM	179
987	CIA	43
988	FOR	49
989	CIA	43
990	GES	52
991	NTT	124
992	BUG-MDR	40
993	TVO	164
994	GES	52
995	TFT	156
996	SLY	141
997	GES	52
998	KEI	70
999	XMT	180
1000	GOR	56
1001	SUL	147
1002	GES	52
1003	GES	52
1004	BUG	37
1005	BHW	23
1006	BHW	23
1007	BHW	23
1008	BHW	23
1009	BHW	23
1010	BHW	23
1011	BHW	23
1012	BHW	23
1013	BHW	23
1014	BHW	23
1015	GES	52
1016	GES	52
1017	MIS	102
1018	BUG	37
1019	JAU	65
1020	JAU	65
1021	JAU	65
1022	WAD	168
1023	WAD	168
1024	UNK	167
1025	WAD	168
1026	JAU	65
1027	JAU	65
1028	WAD	168
1029	JAU	65
1030	JAU	65
1031	WAD	168
1032	JAU	65
1033	JAU	65
1034	JAU	65
1035	JAU	65
1036	WAD	168
1037	CIA	43
1038	JAU	65
1039	WAD	168
1040	JAU	65
1041	JAU	65
1042	WAD	168
1043	WAD	168
1044	JAU	65
1045	TUM	163
1046	WAD	168
1047	WAD	168
1048	GOP	54
1049	MDC	94
1050	GOP	54
1051	GOP	54
1052	WAD	168
1053	GOP	54
1054	GOP	54
1055	BUG	37
1056	GOP	54
1057	GOP	54
1059	SEU	138
1060	WAD	168
1061	GOP	54
1062	WAD	168
1063	WAD	168
1064	WAD	168
1065	GOP	54
1066	GOP	54
1067	WAD	168
1068	JAV	66
1069	WAD	168
1070	GOP	54
1071	WAD	168
1072	GOP	54
1073	GOP	54
1074	GOP	54
1075	SEU	138
1076	WAD	168
1077	JAU	65
1078	WAD	168
1079	WAD	168
1080	JAU	65
1081	WAD	168
1082	JAU	65
1083	WAD	168
1084	WRP	175
1085	JAU	65
1086	WRP-JAU	176
1087	JAU	65
1088	JAU	65
1089	BHW	23
1090	JAU	65
1091	WAD	168
1092	JAU	65
1093	WAD	168
1094	WAD	168
1095	WAD	168
1096	WAD	168
1097	WAD	168
1098	WAD	168
1099	UNK	167
1100	WAD	168
1101	SEU	138
1102	MVX	111
1103	MVX	111
1104	WAD	168
1105	MVX	111
1106	WAD	168
1107	WAD	168
1108	WAD	168
1109	WAD	168
1110	WAD	168
1111	WAD	168
1112	WAD	168
1113	WRP-JAU	176
1114	BHW	23
1115	ROS	133
1116	WAD	168
1117	WAD	168
1118	BHW	23
1119	MAL	92
1120	WAD	168
1121	BJN	31
1122	MKW	103
1123	WRP-JAU	176
1124	WAD	168
1125	WRP	175
1126	WAD	168
1127	MNX	107
1128	BUG	37
1129	MNX	107
1130	MNX	107
1131	MNX	107
1132	MNX	107
1133	MNX	107
1134	WAD	168
1135	MDC	94
1136	MNX	107
1137	WAD	168
1138	WAD	168
1139	MNX	107
1140	WAD	168
1141	RNN	131
1142	WAD	168
1143	WAD	168
1144	WAD	168
1145	SZP	152
1146	MNX	107
1147	WAD	168
1148	KAI	68
