HouseholdID	MPAID	SettlementID	InterviewYear	YearsResident	TimeMarket	PaternalEthnicity	Religion	PrimaryLivelihood	SecondaryLivelihood	TertiaryLivelihood	FreqFish	FreqSaleFish	PercentIncomeFish	FreqEatFish	PercentProteinFish	MajorFishTechnique	EconomicStatusTrend	AssetCar	AssetTruck	AssetCarTruck	AssetBicycle	AssetMotorcycle	AssetBoatNoMotor	AssetBoatOutboard	AssetBoatInboard	AssetLandlinePhone	AssetCellPhone	AssetPhoneCombined	AssetTV	AssetRadio	AssetStereo	AssetCD	AssetDVD	AssetEntertain	AssetSatellite	AssetGenerator	CookingFuel	FSNotEnough	FSDidNotLast	FSBalancedDiet	FSAdultSkip	FSFreqAdultSkip	FSEatLess	FSHungry	FSChildPortion	FSLowCostFood	FSChildSkip	FSFreqChildSkip	FSNoMealChild	RightsAccess	RightsHarvest	RightsManage	RightsExclude	RightsTransfer	SocialConflict	MarineGroup	OtherGroup	PlaceHappy	PlaceFavourite	PlaceMiss	PlaceBest	PlaceFishHere	PlaceBeMyself	Baseline_t2_pairs
4899	3	114	2014	34	0.03	Kamoro	1	3	1	2	5	5	4	5	4	2	3	0	0		0	0	1	1	0	1	0		1	0	0	0	0		1	0	3	1	3	2	1	2	1	0	1	1	0	994	3	1	1	1	1	1	3	0	1	5	5	5	4	3	4	0
4898	3	114	2014	51	0.02	Kamoro	1	7	998	998	994	994	994	994	994	994	4	0	0		0	0	0	0	0	1	0		1	0	0	1	0		0	0	3	2	1	2	0	994	0	0	0	3	0	994	3	0	0	0	0	0	3	0	0	4	4	4	4	998	4	0
4897	3	114	2014	45	0.08	Lakahia	1	3	1	998	3	4	4	3	3	2	3	0	0		0	0	0	1	0	1	0		1	0	0	0	0		0	0	3	1	3	2	1	1	1	0	1	2	0	994	3	1	1	1	1	0	3	0	1	4	5	5	5	5	5	0
4896	3	114	2014	42	0.03	Komoro	1	1	2	998	3	3	4	5	3	1	3	0	0		0	0	1	0	0	0	0		0	0	0	0	0		0	0	3	3	2	1	1	2	0	0	998	998	998	998	998	1	1	0	0	0	3	0	1	4	4	4	4	4	4	0
4895	3	114	2014	51	0.02	Komoro	1	1	3	998	3	3	4	4	3	1	4	0	0		0	0	0	1	0	1	0		1	0	2	1	0		0	0	3	2	2	1	1	1	1	0	998	998	998	998	998	1	1	0	0	0	3	0	0	4	4	4	4	4	4	0
4894	3	114	2014	73	0.03	Komoro	1	1	3	998	2	2	2	3	2	2	2	0	0		0	0	0	0	0	0	0		0	0	2	1	1		0	0	3	3	3	1	0	994	1	0	0	3	0	994	3	1	1	1	1	0	2	1	0	4	4	4	5	4	4	0
4893	3	114	2014	10	0.01	Mairasi	1	3	1	998	3	3	4	4	3	1	4	0	0		0	0	0	1	0	1	0		1	0	1	1	0		0	0	3	2	2	3	1	2	1	0	998	998	998	998	998	1	1	0	0	0	3	0	1	999	999	999	3	999	999	0
4892	3	114	2014	25	0.02	Komoro (Mimika)	1	1	3	2	5	1	2	5	2	996	4	0	0		0	0	1	0	0	2	0		1	0	1	1	0		0	0	3	1	3	3	1	3	0	0	1	2	1	3	3	1	1	0	0	0	4	1	1	3	4	4	3	3	4	0
4891	3	114	2014	42	0.008	Napiti (suku asli Etna)	1	1	3	7	4	4	4	4	4	2	4	0	0		0	0	1	1	0	3	0		1	0	2	1	0		0	0	3	1	3	1	1	3	0	0	0	1	0	994	3	1	1	1	1	0	4	1	1	4	4	5	4	4	4	0
4890	3	114	2014	24	0.02	Nauti	1	3	1	998	5	5	4	4	2	1	3	0	0		0	0	0	1	0	1	0		1	0	0	0	0		0	0	3	3	2	2	0	994	0	0	0	3	0	994	3	1	1	0	0	0	3	0	1	4	4	4	5	4	4	0
