HouseholdID	SettlementID	PaternalEthnicity	Eth.Num	Eth.Iso
274	39	BIAK RAJA AMPAT	23	BHW
275	39	BIAK BESER	23	BHW
276	40	BIAK BESER	23	BHW
277	40	BIAK BESER	23	BHW
278	40	BIAK BESER	23	BHW
279	40	BIAK BESER	23	BHW
280	40	BIAK BESER	23	BHW
281	40	BIAK BESER	23	BHW
282	46	BIAK RAJA AMPAT	23	BHW
283	46	BIAK RAJA AMPAT	23	BHW
284	46	BIAK RAJA AMPAT	23	BHW
285	46	BIAK BESER	23	BHW
286	46	BIAK BESER	23	BHW
287	46	BIAK RAJA AMPAT	23	BHW
288	51	SERAM	52	GES
289	51	JAWA	66	JAV
290	51	GORON-SERAM	52	GES
291	51	SERAM	52	GES
292	51	SERAM	52	GES
293	51	SERAM	52	GES
294	51	MISOOL	102	MIS
295	51	"BUGIS,BUTON, SERAM"	38	BUG-CIA
296	51	SERAM	52	GES
297	51	SERAM	52	GES
298	51	TANIMBAR	70	KEI
299	51	WAIGEO RAJA AMPAT	171	WGO
300	58	SERAM	52	GES
301	58	JAWA	66	JAV
302	58	TERNATE	156	TFT
303	58	WAISAI	171	WGO
304	58	SERAM	52	GES
305	58	KEY	70	KEI
306	65	KEY KECIL	70	KEI
307	65	SERAM	52	GES
308	65	MALUKU UTARA	92	MAL
309	65	TIMOR	11	AOZ
310	65	TIDORE	164	TVO
311	65	MISOOL	102	MIS
312	11	BIAK	23	BHW
313	11	BIAK	23	BHW
314	11	BIAK-NUMFOR	23	BHW
315	11	BIAK	23	BHW
316	11	AMBEL-MAYA	143	SLZ-WGO
317	11	BIAK	23	BHW
318	11	MAYA	142	SLZ
319	11	BIAK	23	BHW
320	11	BIAK	23	BHW
321	11	KEY	70	KEI
322	11	BIAK	23	BHW
323	11	BIAK	23	BHW
324	11	BIAK	23	BHW
325	11	BIAK	23	BHW
326	11	TERNATE	156	TFT
327	11	BIAK	23	BHW
328	11	BIAK	23	BHW
329	11	AMBEL-MAYA	143	SLZ-WGO
330	11	BIAK	23	BHW
331	11	BIAK	23	BHW
332	11	AMBEL-MAYA	143	SLZ-WGO
333	11	BIAK	23	BHW
334	11	BIAK	23	BHW
335	11	BIAK	23	BHW
336	11	BIAK	23	BHW
337	11	BIAK	23	BHW
338	11	BIAK	23	BHW
339	11	BIAK	23	BHW
340	11	BIAK	23	BHW
341	12	BIAK NUMFOR	23	BHW
342	12	MANADO	179	XMM
343	12	BIAK	23	BHW
344	12	BIAK-BESER	23	BHW
345	12	BIAK	23	BHW
346	12	BIAK	23	BHW
347	12	BIAK-BESER	23	BHW
348	12	BIAK	23	BHW
349	12	BIAK-BESER	23	BHW
350	12	BIAK	23	BHW
351	13	AMBEL-MAYA	143	SLZ-WGO
352	13	AMBEL-MAYA	143	SLZ-WGO
353	13	AMBEL-MAYA	143	SLZ-WGO
354	13	BIAK	23	BHW
355	13	AMBEL-MAYA	143	SLZ-WGO
356	13	MOI	112	MXN
357	13	AMBEL-MAYA	143	SLZ-WGO
358	13	MAIRASI	184	ZRS
359	13	AMBEL-MAYA	143	SLZ-WGO
360	13	BIAK	23	BHW
361	13	MAYA	142	SLZ
362	13	AMBEL-MAYA	143	SLZ-WGO
363	13	AMBEL-MAYA	143	SLZ-WGO
364	13	AMBEL-MAYA	143	SLZ-WGO
365	13	AMBEL-MAYA	143	SLZ-WGO
366	13	AMBEL-MAYA	143	SLZ-WGO
367	13	AMBEL-MAYA	143	SLZ-WGO
368	13	AMBEL-MAYA	143	SLZ-WGO
369	13	AMBEL-MAYA	143	SLZ-WGO
370	13	BIAK	23	BHW
371	13	AMBEL-MAYA	143	SLZ-WGO
372	13	AMBEL-MAYA	143	SLZ-WGO
373	13	AMBEL-MAYA	143	SLZ-WGO
374	13	AMBEL-MAYA	143	SLZ-WGO
375	13	AMBEL-MAYA	143	SLZ-WGO
376	14	BIAK-BESER	23	BHW
377	14	MAYA	142	SLZ
378	14	KAWE-MAYA	72	KGB-SLZ
379	14	BUTON	43	CIA
380	14	MAYA	142	SLZ
381	14	BIAK-BESER	23	BHW
382	14	MAYA	142	SLZ
383	14	MAYA	142	SLZ
384	14	MAYA	142	SLZ
385	14	AMBEL-MAYA	143	SLZ-WGO
386	14	MAYA	142	SLZ
387	14	BIAK-BESER	23	BHW
388	14	MAYA-WAWIYAI	144	SLZ-WUY
389	14	MAYA	142	SLZ
390	14	BIAK	23	BHW
391	14	BIAK	23	BHW
392	14	BIAK-BESER	23	BHW
393	14	BIAK	23	BHW
394	14	MAYA	142	SLZ
395	14	MAYA-WAWIYAI	144	SLZ-WUY
396	14	MAYA-WAWIYAI	144	SLZ-WUY
397	14	AMBON	1	ABS
398	14	MAYA	142	SLZ
399	14	BIAK	23	BHW
400	14	SERUI	138	SEU
401	14	MAYA	142	SLZ
402	14	MAYA	142	SLZ
403	14	BUGIS	37	BUG
404	14	AMBEL-MAYA	143	SLZ-WGO
405	14	BIAK	23	BHW
406	14	AFATANUN-MAYA	142	SLZ
407	14	MAYA-WAWIYAI	144	SLZ-WUY
408	14	MAYA	142	SLZ
409	14	BIAK-BESER	23	BHW
410	14	BIAK	23	BHW
411	14	MAYA	142	SLZ
412	14	MAYA	142	SLZ
413	14	MAYA	142	SLZ
414	39	BIAK BESER	23	BHW
415	39	BIAK BESER	23	BHW
416	39	BIAK RAJA AMPAT	23	BHW
417	39	BIAK RAJA AMPAT	23	BHW
418	39	BIAK RAJA AMPAT	23	BHW
419	39	BIAK BESER	23	BHW
420	39	BIAK RAJA AMPAT	23	BHW
421	39	BIAK BESER	23	BHW
422	39	BUTON	43	CIA
423	39	BIAK RAJA AMPAT	23	BHW
424	39	BIAK RAJA AMPAT	23	BHW
425	39	BIAK BESER	23	BHW
426	39	BIAK RAJA AMPAT	23	BHW
427	39	BIAK RAJA AMPAT	23	BHW
428	39	BIAK RAJA AMPAT	23	BHW
429	39	TOBELO (HALMAHERA)	157	TLB
430	39	BIAK BESER	23	BHW
431	39	BIAK RAJA AMPAT	23	BHW
432	39	BIAK RAJA AMPAT	23	BHW
433	39	BIAK RAJA AMPAT	23	BHW
434	39	BIAK BESER	23	BHW
435	39	BIAK BESER	23	BHW
436	39	BIAK RAJA AMPAT	23	BHW
437	39	BIAK BESER	23	BHW
438	39	TOBELO (HALMAHERA)	157	TLB
439	39	BIAK BESER	23	BHW
440	39	TERNATE/SANANA	151	SZN
441	39	BIAK RAJA AMPAT	23	BHW
442	39	BIAK BESER	23	BHW
443	39	BIAK BESER	23	BHW
444	39	BIAK RAJA AMPAT	23	BHW
445	39	BIAK BESER	23	BHW
446	39	BIAK BESER	23	BHW
447	39	BIAK BESER	23	BHW
448	39	BIAK BESER	23	BHW
449	39	BIAK RAJA AMPAT	23	BHW
450	39	BIAK RAJA AMPAT	23	BHW
